created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 26 09:37:48 +0000 2024;1772558560792092913;"warna merah warna cinta #snbp2024 #snbt2024 https://t.co/9kOQknMxN5";0;0;0;0;in;1648864547204378624;1772558560792092913;nshmlea;https://twitter.com/nshmlea/status/1772558560792092913
Tue Mar 26 09:36:06 +0000 2024;1772558132583313603;"ALHAMDULILLAH AKU LOLOS SNBP #SNBP2024 @UM_1954 https://t.co/Mv9vNJIXwh";0;2;0;3;in;1619122066854383616;1772558132583313603;nxjwa_ch;https://twitter.com/nxjwa_ch/status/1772558132583313603
Tue Mar 26 09:31:10 +0000 2024;1772556893073952881;"Eh sumpahh jujur ikut happy bgttt buat yang kterima snbp ini hihi siap melihat adik² kecilku yang sangat lucu itu😊😊🫰🫰🫰 #SNBP2024";0;0;0;0;in;1573822722375057410;1772556893073952881;alwaysdyaa;https://twitter.com/alwaysdyaa/status/1772556893073952881
Tue Mar 26 09:30:46 +0000 2024;1772556792628760684;"lagi ngerjain to, tiba-tiba di chat sama kepala bimbel "selamat dev ..." reflek buka pengumuman #lolos #snbp #snbp2024 https://t.co/bJ1DgTHFs9";0;1;0;2;in;1736992759117189120;1772556792628760684;leeheeseun2209;https://twitter.com/leeheeseun2209/status/1772556792628760684
Tue Mar 26 09:30:35 +0000 2024;1772556747271766320;"Alhamdulillah lulus snbp guysss #snbp #snbp2024 #snbpugm https://t.co/OmSpyW8X45";0;2;0;4;in;3168041108;1772556747271766320;helloprivyet;https://twitter.com/helloprivyet/status/1772556747271766320
Tue Mar 26 09:30:11 +0000 2024;1772556646260384173;"Apapun hasilnya tetap semangat dan selalu ingat kalau si “Biru” jodohmu pasti gak akan kemana! Ingat, IPB masih punya 7 jalur masuk yang lain loh! -nty   #SNBP #SNPMB #snbp2024 #mabaipb61 #ipb61 #IPBUniversity #AyomasukIPB";0;0;0;3;in;1764613168574406656;1772556646260384173;DutaIPB;https://twitter.com/DutaIPB/status/1772556646260384173
Tue Mar 26 09:27:18 +0000 2024;1772555918162747704;"Alhamdulillah lolos ya Allah 🙏 #snbp2024 https://t.co/NKE4lU8qlO";0;2;0;2;in;1490865863280320516;1772555918162747704;xzmyvvv7;https://twitter.com/xzmyvvv7/status/1772555918162747704
Tue Mar 26 09:23:26 +0000 2024;1772554948028604722;"Akhirnya guyss final chapter,semangat trus pejuang snbp snbt👊🏻👊🏻 #snbp2024 https://t.co/FnSH335n46";1;0;0;1;in;1737032400004341761;1772554948028604722;GabutBatmainX;https://twitter.com/GabutBatmainX/status/1772554948028604722
Tue Mar 26 09:20:58 +0000 2024;1772554324343980372;"p ingin sapa adek tingkatku mana ya mana #SNBP2024 #Filsafat2024 🤗 https://t.co/IEx979vKWO";0;0;0;1;in;1112004176450445314;1772554324343980372;retjanisme;https://twitter.com/retjanisme/status/1772554324343980372
Tue Mar 26 09:17:59 +0000 2024;1772553576151134341;"warna merah warna cinta #snbp2024";0;2;0;0;in;1414093299699175430;1772553576151134341;billsheikusupia;https://twitter.com/billsheikusupia/status/1772553576151134341
Tue Mar 26 09:15:29 +0000 2024;1772552948159045876;"ALHAMDULILAH YA ALLAH... SIAP JADI CUCU JENDERALLL FIB UNSOED I'M COMING💙💙💙 #SNBP2024 #SNBP https://t.co/C73wFHuF8u";0;10;0;21;in;1673719584657149952;1772552948159045876;studyyayy;https://twitter.com/studyyayy/status/1772552948159045876
